Round,Pick,Team,From
1,1,Fully Erect Dingers,
1,2,Murder the Manfred Man,
1,3,Willie Mays Hayes,
1,4,Will's Short Porch,
1,5,Rockford Peaches,
1,6,Baseball Team,
1,7,The McClowns,
1,8,Dirty Birds,
1,9,Fire Sale in August,
1,10,Me and Julio DBTSY,
2,11,Me and Julio DBTSY,
2,12,Fire Sale in August,
2,13,Dirty Birds,
2,14,The McClowns,
2,15,Baseball Team,
2,16,Rockford Peaches,
2,17,Will's Short Porch,
2,18,Willie Mays Hayes,
2,19,Murder the Manfred Man,
2,20,Fully Erect Dingers,
3,21,Fully Erect Dingers,
3,22,Murder the Manfred Man,
3,23,Willie Mays Hayes,
3,24,Will's Short Porch,
3,25,Rockford Peaches,
3,26,Baseball Team,
3,27,The McClowns,
3,28,Dirty Birds,
3,29,Fire Sale in August,
3,30,Me and Julio DBTSY,
4,31,Willie Mays Hayes,Me and Julio DBTSY
4,32,Murder the Manfred Man,Fire Sale in August
4,33,Murder the Manfred Man,Dirty Birds
4,34,The McClowns,
4,35,Baseball Team,
4,36,Dirty Birds,Rockford Peaches
4,37,Will's Short Porch,
4,38,Willie Mays Hayes,
4,39,Murder the Manfred Man,
4,40,Fully Erect Dingers,
5,41,Fully Erect Dingers,
5,42,Dirty Birds,Murder the Manfred Man
5,42,Murder the Manfred Man,
5,43,Willie Mays Hayes,
5,44,Will's Short Porch,
5,45,Rockford Peaches,
5,46,Baseball Team,
5,47,The McClowns,
5,48,Willie Mays Hayes,Dirty Birds
5,50,Me and Julio DBTSY,
6,51,Me and Julio DBTSY,
6,52,Murder the Manfred Man,Fire Sale in August
6,53,Fire Sale in August,Dirty Birds
6,54,The McClowns,
6,55,Baseball Team,
6,56,Rockford Peaches,
6,57,Will's Short Porch,
6,58,Willie Mays Hayes,
6,59,Murder the Manfred Man,
6,60,Fully Erect Dingers,
7,61,Fully Erect Dingers,
7,62,Murder the Manfred Man,
7,63,Willie Mays Hayes,
7,64,Will's Short Porch,
7,65,Rockford Peaches,
7,66,Baseball Team,
7,67,The McClowns,
7,68,Will's Short Porch,Dirty Birds
7,69,Fire Sale in August,
7,70,Me and Julio DBTSY,
8,71,Willie Mays Hayes,Me and Julio DBTSY
8,72,Fire Sale in August,
8,73,Dirty Birds,
8,74,Willie Mays Hayes,The McClowns
8,75,Baseball Team,
8,76,Willie Mays Hayes,Rockford Peaches
8,77,Will's Short Porch,
8,78,Willie Mays Hayes,
8,79,Murder the Manfred Man,
8,80,Fully Erect Dingers,
9,81,Fully Erect Dingers,
9,82,Murder the Manfred Man,
9,83,Willie Mays Hayes,
9,84,Will's Short Porch,
9,85,Rockford Peaches,
9,86,Baseball Team,
9,87,The McClowns,
9,88,Dirty Birds,
9,89,Fire Sale in August,
9,90,Will's Short Porch,Me and Julio DBTSY
10,91,Me and Julio DBTSY,
10,92,Fire Sale in August,
10,93,Willie Mays Hayes,Dirty Birds
10,94,The McClowns,
10,95,Baseball Team,
10,96,Rockford Peaches,
10,97,Will's Short Porch,
10,98,Willie Mays Hayes,
10,99,Will's Short Porch,Murder the Manfred Man
10,100,Willie Mays Hayes,Fully Erect Dingers
11,101,Fully Erect Dingers,
11,102,Murder the Manfred Man,
11,103,Willie Mays Hayes,
11,104,Will's Short Porch,
11,105,Rockford Peaches,
11,106,Baseball Team,
11,107,Willie Mays Hayes,The McClowns
11,108,Will's Short Porch,Dirty Birds
11,109,Will's Short Porch,Fire Sale in August
11,110,Me and Julio DBTSY,
12,111,Me and Julio DBTSY,
12,112,Fire Sale in August,
12,113,Dirty Birds,
12,114,The McClowns,
12,115,Baseball Team,
12,116,Rockford Peaches,
12,117,Will's Short Porch,
12,118,Willie Mays Hayes,
12,119,Murder the Manfred Man,
12,120,Fully Erect Dingers,
13,121,Fully Erect Dingers,
13,122,Murder the Manfred Man,
13,123,Fully Erect Dingers,Willie Mays Hayes
13,124,Will's Short Porch,
13,125,Rockford Peaches,
13,126,Baseball Team,
13,127,The McClowns,
13,128,Fire Sale in August,Dirty Birds
13,129,Murder the Manfred Man,Fire Sale in August
13,130,Me and Julio DBTSY,
14,131,Willie Mays Hayes,Me and Julio DBTSY
14,132,Murder the Manfred Man,Fire Sale in August
14,133,Dirty Birds,
14,134,Willie Mays Hayes,The McClowns
14,135,Baseball Team,
14,136,Rockford Peaches,
14,137,Will's Short Porch,
14,138,Rockford Peaches,Willie Mays Hayes
14,139,Murder the Manfred Man,
14,140,Willie Mays Hayes,Fully Erect Dingers
15,141,Fully Erect Dingers,
15,142,Murder the Manfred Man,
15,143,Dirty Birds,Willie Mays Hayes
15,144,Will's Short Porch,
15,145,Rockford Peaches,
15,146,Baseball Team,
15,147,The McClowns,
15,148,Murder the Manfred Man,Dirty Birds
15,149,Fire Sale in August,
15,150,Me and Julio DBTSY,
16,151,Me and Julio DBTSY,
16,152,Fire Sale in August,
16,153,Dirty Birds,
16,154,The McClowns,
16,155,Baseball Team,
16,156,Rockford Peaches,
16,157,Will's Short Porch,
16,158,Willie Mays Hayes,
16,159,Murder the Manfred Man,
16,160,Fully Erect Dingers,
17,161,Fully Erect Dingers,
17,162,Murder the Manfred Man,
17,163,Willie Mays Hayes,
17,164,Will's Short Porch,
17,165,Rockford Peaches,
17,166,Baseball Team,
17,167,The McClowns,
17,168,Dirty Birds,
17,169,Fire Sale in August,
17,170,Me and Julio DBTSY,
18,171,Me and Julio DBTSY,
18,172,Murder the Manfred Man,Fire Sale in August
18,173,Dirty Birds,
18,174,The McClowns,
18,175,Baseball Team,
18,176,Rockford Peaches,
18,177,Will's Short Porch,
18,178,Fully Erect Dingers,Willie Mays Hayes
18,179,Murder the Manfred Man,
18,180,Fully Erect Dingers,
19,181,Fully Erect Dingers,
19,182,Murder the Manfred Man,
19,183,The McClowns,Willie Mays Hayes
19,184,Will's Short Porch,
19,185,Rockford Peaches,
19,186,Baseball Team,
19,187,The McClowns,
19,188,Dirty Birds,
